1207,207,Liberal Party of Canada,2013-12-31,250.0
1208,208,Liberal Party of Canada,2013-12-31,1000.0
1209,209,Liberal Party of Canada,2013-12-31,400.0
1210,210,Liberal Party of Canada,2013-12-31,50.0
1211,211,Liberal Party of Canada,2013-12-31,25.0
1212,212,Liberal Party of Canada,2013-12-31,20.0
1213,213,Liberal Party of Canada,2013-12-31,25.0
1214,214,Liberal Party of Canada,2013-12-31,10.0
1215,215,Liberal Party of Canada,2013-12-31,25.0
1216,216,Liberal Party of Canada,2013-12-31,1200.0
1217,217,Liberal Party of Canada,2013-12-31,10.0
1218,218,Liberal Party of Canada,2013-12-31,80.0
1219,219,Liberal Party of Canada,2013-12-31,400.0
1220,220,Liberal Party of Canada,2013-12-31,400.0
1221,221,Liberal Party of Canada,2013-12-31,20.0
1222,222,Liberal Party of Canada,2013-12-31,20.0
1223,223,Liberal Party of Canada,2013-12-31,100.0
1224,224,Liberal Party of Canada,2013-12-31,1000.0
1225,225,Liberal Party of Canada,2013-12-31,20.0
1226,226,Liberal Party of Canada,2013-12-31,242.0
1227,227,Liberal Party of Canada,2013-12-31,400.0
1228,228,Liberal Party of Canada,2013-12-31,20.0
1229,229,Liberal Party of Canada,2013-12-31,250.0
1230,230,Liberal Party of Canada,2013-12-31,20.0
1231,231,Liberal Party of Canada,2013-12-31,20.0
1232,232,New Democratic Party,2012-12-31,50.0
1233,233,New Democratic Party,2012-12-31,100.0
1234,234,Liberal Party of Canada,2012-12-31,1200.0
1235,235,New Democratic Party,2012-12-31,50.0
1236,236,Liberal Party of Canada,2012-12-31,600.0
1237,237,New Democratic Party,2012-12-31,50.0
1238,238,New Democratic Party,2012-12-31,200.0
1239,239,New Democratic Party,2012-12-31,200.0
1240,240,New Democratic Party,2012-12-31,300.0
1241,241,Liberal Party of Canada,2012-12-31,50.0
1242,242,New Democratic Party,2012-12-31,250.0
1243,243,New Democratic Party,2012-12-31,100.0
1244,244,New Democratic Party,2012-12-31,300.0
1245,245,New Democratic Party,2012-12-31,75.0
1246,246,New Democratic Party,2012-12-31,1200.0
1247,247,Liberal Party of Canada,2012-12-31,400.0
1248,248,Liberal Party of Canada,2012-12-31,400.0
1249,249,Liberal Party of Canada,2012-12-31,1200.0
1250,250,Liberal Party of Canada,2012-12-31,50.0
1251,251,Liberal Party of Canada,2012-12-31,400.0
1252,252,Liberal Party of Canada,2012-12-31,100.0
1253,253,Liberal Party of Canada,2012-12-31,25.0
1254,254,Liberal Party of Canada,2012-12-31,50.0
1255,255,Liberal Party of Canada,2012-12-31,1200.0
1256,256,Liberal Party of Canada,2012-12-31,49.56
1257,257,Liberal Party of Canada,2012-12-31,50.0
1258,258,Liberal Party of Canada,2012-12-31,100.0
1259,259,Liberal Party of Canada,2012-12-31,1200.0
1260,260,New Democratic Party,2012-12-31,50.0
1261,261,New Democratic Party,2012-12-31,400.0
1262,262,New Democratic Party,2012-12-31,200.0
1263,263,Liberal Party of Canada,2012-12-31,250.0
1264,264,New Democratic Party,2012-12-31,75.0
1265,265,Liberal Party of Canada,2007-12-31,25.0
1266,266,Liberal Party of Canada,2007-12-31,200.0
1267,267,Liberal Party of Canada,2007-12-31,199.78
1268,268,Liberal Party of Canada,2007-12-31,17.75
1269,269,Liberal Party of Canada,2007-12-31,25.0
1270,270,Liberal Party of Canada,2007-12-31,95.8
1271,271,Liberal Party of Canada,2008-12-31,1100.0
1272,272,Liberal Party of Canada,2008-12-31,95.08
1273,273,Liberal Party of Canada,2008-12-31,22.91
1274,274,Liberal Party of Canada,2008-12-31,150.0
1275,275,Liberal Party of Canada,2007-12-31,21.41
1276,276,Liberal Party of Canada,2008-12-31,35.08
1277,277,Liberal Party of Canada,2008-12-31,100.0
1278,278,Liberal Party of Canada,2008-12-31,95.08
1279,279,Liberal Party of Canada,2008-12-31,25.0
1280,280,Liberal Party of Canada,2008-12-31,10.0
1281,281,Liberal Party of Canada,2008-12-31,172.36
1282,282,Liberal Party of Canada,2008-12-31,500.0
1283,283,Liberal Party of Canada,2009-12-31,100.0
1284,284,Liberal Party of Canada,2009-12-31,125.88
